tag,label,sort_order
it__non-brand__Monitor Brightness__HDR/VesaHDR,Monitor | Monitor Brightness | HDR | VesaHDR,59
it__non-brand__Monitor Brightness__Monitor Brightness,Monitor | Monitor Brightness | Monitor Brightness,60
it__non-brand__Monitor Color Accuracy,Monitor | Monitor Color Accuracy,61
it__non-brand__Monitor Connectivity,Monitor | Monitor Connectivity,62
it__non-brand__Monitor Panel Type__mini-led,Monitor | Monitor Panel Type | mini-led,63
it__non-brand__Monitor Panel Type__other panel type,Monitor | Monitor Panel Type | other panel type,64
it__non-brand__Monitor Refresh rate__144hz gaming monitor,Monitor | Monitor Refresh rate | 144hz gaming monitor,65
it__non-brand__Monitor Refresh rate__165 hz gaming monitor,Monitor | Monitor Refresh rate | 165 hz gaming monitor,66
it__non-brand__Monitor Refresh rate__240hz gaming monitor,Monitor | Monitor Refresh rate | 240hz gaming monitor,67
it__non-brand__Monitor Refresh rate__360hz gaming monitor,Monitor | Monitor Refresh rate | 360hz gaming monitor,68
it__non-brand__Monitor Refresh rate__480hz gaming monitor,Monitor | Monitor Refresh rate | 480hz gaming monitor,69
it__non-brand__Monitor Refresh rate__540hz gaming monitor,Monitor | Monitor Refresh rate | 540hz gaming monitor,70
it__non-brand__Monitor Refresh rate__dual mode refresh rate gaming monitor,Monitor | Monitor Refresh rate | dual mode refresh rate gaming monitor,71
it__non-brand__Monitor Refresh rate__over 1000hz gaming monitor,Monitor | Monitor Refresh rate | over 1000hz gaming monitor,72
it__non-brand__Monitor Specs__Curved Monitor,Monitor | Monitor Specs | Curved Monitor,73
it__non-brand__Monitor Specs__Monitor Aspec Ratio,Monitor | Monitor Specs | Monitor Aspec Ratio,74
it__non-brand__Monitor Specs__Monitor Size,Monitor | Monitor Specs | Monitor Size,75
it__non-brand__OLED Gaming Monitor,Monitor | OLED Gaming Monitor,76
